City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,puerto ayora,-0.7393,-90.3518,23.64,91,Clouds,1.34,EC,1698666050
77,ilulissat,69.2167,-51.1,2.01,51,Clear,7.2,GL,1698752424
78,sittwe,20.15,92.9,27.29,77,Clouds,2.66,MM,1698709750
79,puerto lempira,15.2667,-83.7667,25.16,89,Clouds,1.16,HN,1698665425
80,hatillo,18.4863,-66.8254,27.82,92,Clouds,0.45,PR,1698661561
81,port elizabeth,-33.918,25.5701,15.16,83,Clear,5.14,ZA,1698722312
82,atafu village,-8.5421,-172.5159,29.14,73,Clouds,6.45,TK,1698771687
83,diawara,15.022,-12.5437,30.24,43,Clouds,3.23,SN,1698734732
84,san luis de la loma,17.2706,-100.8939,26.26,88,Rain,1.83,MX,1698669662
85,touros,-5.1989,-35.4608,25.26,72,Clouds,5.08,BR,1698739004
86,turbat,26.0023,63.044,25.88,61,Clear,1.05,PK,1698717323
87,la passe,45.5549,-0.8967,15.55,83,Rain,10.78,FR,1698734461
88,prado,-17.3411,-39.2208,23.8,80,Clouds,4.68,BR,1698739135
89,margaret river,-33.95,115.0667,19.7,40,Clouds,0.37,AU,1698700845
90,pacific grove,36.6177,-121.9166,18.03,43,Clear,2.06,US,1698676137
91,fale old settlement,-9.3852,-171.2468,28.2,79,Rain,7.0,TK,1698771329
92,hawaiian paradise park,19.5933,-154.9731,26.04,88,Clouds,2.57,US,1698682795
93,ust-nera,64.5667,143.2,-11.93,98,Clouds,2.31,RU,1698703603
94,iskateley,67.6803,53.1512,-10.55,97,Clouds,2.68,RU,1698726530
95,vilyuysk,63.7553,121.6247,-13.89,94,Clouds,0.89,RU,1698708520
96,chonchi,-42.6128,-73.8092,2.84,96,Clear,0.58,CL,1698745240
97,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,62,Clear,5.36,RU,1698697173
98,khorugh,37.4897,71.553,9.38,57,Clouds,1.19,TJ,1698716211
99,mossel bay,-34.1831,22.146,8.96,76,Clear,4.07,ZA,1698723109
100,saipan,15.1355,145.701,31.39,74,Clouds,6.69,MP,1698696752
101,anadyr,64.75,177.4833,1.67,93,Snow,3.0,RU,1698695420
102,kourou,5.1552,-52.6478,27.03,87,Clouds,3.06,GF,1698743752
103,papatowai,-46.5619,169.4708,14.9,66,Clouds,2.51,NZ,1698686409
104,tagaw-bay,35.6994,66.0616,12.55,47,Clouds,1.42,AF,1698717368
105,college,64.8569,-147.8028,-0.01,86,Clouds,0.0,US,1698687107
106,naze,28.3667,129.4833,21.79,65,Clouds,5.22,JP,1698701544
107,isfana,39.8386,69.5306,9.31,66,Clouds,3.01,KG,1698716922
108,kosikha,53.3617,84.5822,-1.38,99,Snow,0.94,RU,1698715025
109,kembe,4.6228,21.8865,20.88,96,Clouds,0.72,CF,1698725831
110,klyuchi,52.2667,79.1667,5.76,96,Clouds,2.51,RU,1698716148
111,thompson,55.7435,-97.8558,-6.91,79,Snow,2.57,CA,1698672771
112,fortaleza,-3.7227,-38.5247,28.93,69,Clouds,3.09,BR,1698739829
113,woolgoolga,-30.1106,153.2007,35.02,45,Clouds,3.94,AU,1698692031
114,guerrero negro,27.9769,-114.0611,21.79,44,Clear,2.65,MX,1698673552
115,geraldton,-28.7667,114.6,31.23,16,Clear,8.23,AU,1698701399
116,port alfred,-33.5906,26.891,14.3,80,Clouds,6.8,ZA,1698722025
117,chom thong,18.4174,98.6743,25.14,96,Clouds,1.14,TH,1698708250
118,nar'yan-mar,67.6713,53.087,-10.5,97,Clouds,2.68,RU,1698726541
119,mangrol,21.1167,70.1167,26.96,50,Clouds,4.01,IN,1698715285
120,fuglafjordur,62.244,-6.814,3.26,59,Clouds,7.28,FO,1698738944
121,na wa,17.4897,104.1006,28.15,62,Clouds,3.28,TH,1698706888
122,al qadarif,14.0349,35.3834,24.79,73,Clouds,2.33,SD,1698723165
123,mirnyy,62.5353,113.9611,-19.87,84,Clouds,4.02,RU,1698709985
124,uglegorsk,49.0833,142.0333,8.66,81,Clear,3.38,RU,1698700574
125,tura,25.5198,90.2201,25.37,68,Clouds,0.51,IN,1698710763
126,zouerate,22.7187,-12.4521,26.67,17,Clear,2.46,MR,1698735217
127,camacupa,-12.0167,17.4833,18.17,89,Clouds,2.85,AO,1698725877
128,neuhof,50.4531,9.6175,12.08,93,Clouds,6.87,DE,1698732584
129,kill devil hills,36.0307,-75.676,21.1,80,Clear,4.12,US,1698664979
130,howard springs,-12.497,131.047,34.34,65,Clouds,1.4,AU,1698698598
131,kargopol',61.5071,38.9456,-8.15,98,Clouds,0.31,RU,1698727732
132,wailua homesteads,22.0669,-159.378,26.44,75,Clouds,3.6,US,1698684016
133,inhambane,-23.865,35.3833,20.0,70,Clouds,4.7,MZ,1698720778
134,aswan,24.0934,32.907,25.66,53,Clear,1.72,EG,1698724423
135,greenville,35.6127,-77.3663,22.02,87,Clear,2.06,US,1698665349
136,west island,-12.1568,96.8225,27.99,78,Clouds,6.69,CC,1698706831
137,afaahiti,-17.75,-149.2833,26.93,82,Clouds,8.74,PF,1698679143
138,motueka,-41.1333,173.0167,20.6,55,Clouds,3.31,NZ,1698686227
139,arraial do cabo,-22.9661,-42.0278,24.17,91,Clouds,2.41,BR,1698739415
140,ar rutbah,33.0381,40.2848,19.82,45,Clouds,2.98,IQ,1698723331
141,mengcheng chengguanzhen,33.2661,116.566,27.38,31,Clear,5.42,CN,1698705031
142,ketchikan,55.3422,-131.6461,3.99,87,Clear,1.54,US,1698680818
143,carnarvon,-24.8667,113.6333,26.51,46,Clear,4.24,AU,1698701933
144,yuzhno-kurilsk,44.0306,145.8556,11.32,81,Clouds,5.15,RU,1698699030
145,nejo,9.5,35.5,14.08,94,Clouds,1.3,ET,1698722857
146,ewo,-0.8725,14.8206,22.76,94,Rain,2.83,CG,1698727199
147,ola,59.5833,151.2833,0.08,65,Clouds,2.48,RU,1698700229
148,whitehorse,60.7161,-135.0538,1.43,93,Mist,2.57,CA,1698682798
149,toliara,-23.35,43.6667,21.71,83,Clouds,4.31,MG,1698718829
150,malindi,-3.2175,40.1191,25.14,88,Rain,2.8,KE,1698720987
151,bonthe,7.5264,-12.505,25.39,88,Clear,2.25,SL,1698734260
152,minas de marcona,-15.2119,-75.1103,14.81,84,Clouds,5.31,PE,1698661513
153,tralee,52.2704,-9.7026,9.93,88,Clouds,2.37,IE,1698737504
154,mount isa,-20.7333,139.5,37.87,20,Clear,2.57,AU,1698696025
155,namtsy,62.7161,129.6658,-10.85,85,Clouds,3.15,RU,1698706262
156,yigo village,13.5361,144.8886,30.62,76,Clouds,6.17,GU,1698696847
157,remire-montjoly,4.9167,-52.2667,27.02,94,Clouds,0.0,GF,1698743647
158,callao,-12.0667,-77.15,21.51,82,Clear,5.14,PE,1698662201
159,lihue,21.9789,-159.3672,26.77,74,Clouds,3.6,US,1698684008
160,conduaga,8.862,117.4893,30.68,65,Clouds,1.36,PH,1698703139
161,hermanus,-34.4187,19.2345,13.37,81,Clouds,7.07,ZA,1698723786
162,khandyga,62.6667,135.6,-9.02,93,Snow,2.09,RU,1698704820
163,coahuayana de hidalgo,18.7,-103.6583,25.75,93,Rain,1.46,MX,1698670417
164,georgetown,5.4112,100.3354,31.96,66,Clouds,1.54,MY,1698707049
165,mariental,-24.6333,17.9667,16.46,23,Clear,3.94,,1698724899
166,saint croix,17.7397,-64.7388,28.25,84,Rain,5.14,VI,1698661013
167,el charco,2.4769,-78.1105,24.42,94,Rain,1.0,CO,1698663301
168,condom,43.9167,0.3333,12.58,98,Rain,5.34,FR,1698733975
169,udachny,66.4167,112.4,-20.09,97,Clouds,2.72,RU,1698711713
170,stepnoye,51.4,46.8667,8.53,81,Clouds,7.59,RU,1698723775
171,nova vicosa,-17.8919,-39.3719,24.49,77,Clouds,5.9,BR,1698739134
172,palmerston north,-40.35,175.6167,20.43,76,Clouds,3.91,NZ,1698685690
173,dezhou,37.4486,116.2925,25.15,28,Clear,3.63,CN,1698705462
174,corinto,37.9407,22.9573,18.6,71,Clear,1.5,GR,1698727925
175,puerto escondido,15.85,-97.0667,27.46,61,Rain,3.09,MX,1698668654
176,kasempa,-13.4584,25.8338,18.62,87,Clouds,2.4,ZM,1698723782
177,sheridan,44.8333,-106.9173,-1.79,78,Clear,3.09,US,1698673362
178,belyy yar,53.6039,91.3903,-2.06,93,Snow,0.0,RU,1698713429
